time_agent_get_action,time_env_step,append_memory,time_train_model,time_one_episode_step
3.40938568115e-05,0.169792175293,5.00679016113e-06,9.53674316406e-07,0.169861078262
3.60012054443e-05,0.197659015656,7.15255737305e-06,9.53674316406e-07,0.197736024857
0.000157117843628,0.197455883026,5.00679016113e-06,2.14576721191e-06,0.197654008865
0.0001220703125,0.19825387001,4.05311584473e-06,1.19209289551e-06,0.198615074158
2.00271606445e-05,0.198635101318,5.96046447754e-06,2.14576721191e-06,0.198698997498
4.60147857666e-05,0.210203886032,6.91413879395e-06,1.90734863281e-06,0.210295915604
0.000132083892822,0.189713954926,5.96046447754e-06,9.53674316406e-07,0.189892053604
0.0001540184021,0.210771799088,6.19888305664e-06,1.90734863281e-06,0.210975170135
4.79221343994e-05,0.191147089005,5.00679016113e-06,9.53674316406e-07,0.191236972809
0.000128030776978,0.209833860397,8.10623168945e-06,9.53674316406e-07,0.210003852844
0.000267028808594,0.199066877365,5.00679016113e-06,9.53674316406e-07,0.199373960495
0.000141859054565,0.199862003326,6.19888305664e-06,1.90734863281e-06,0.200214147568
5.31673431396e-05,0.201031923294,5.00679016113e-06,5.00679016113e-06,0.201133966446
5.3882598877e-05,0.19987988472,6.19888305664e-06,1.90734863281e-06,0.200115919113
5.19752502441e-05,0.200180053711,5.00679016113e-06,2.14576721191e-06,0.200407028198
0.000115156173706,0.189080953598,5.00679016113e-06,1.90734863281e-06,0.189237117767
2.28881835938e-05,0.209573030472,7.86781311035e-06,2.14576721191e-06,0.209652900696
0.000149011611938,0.198031902313,7.15255737305e-06,1.90734863281e-06,0.198219060898
9.48905944824e-05,0.197594165802,4.05311584473e-06,9.53674316406e-07,0.197829008102
0.000138998031616,0.197621822357,6.19888305664e-06,1.90734863281e-06,0.198039770126
0.000201940536499,0.209455966949,5.00679016113e-06,1.90734863281e-06,0.209702968597
0.000135898590088,0.190194129944,5.00679016113e-06,9.53674316406e-07,0.19037103653
2.31266021729e-05,0.198883056641,4.05311584473e-06,1.90734863281e-06,0.19895195961
0.000113964080811,0.208673000336,5.00679016113e-06,9.53674316406e-07,0.208832979202
0.000171899795532,0.19846200943,4.05311584473e-06,9.53674316406e-07,0.198668956757
2.31266021729e-05,0.198659896851,4.05311584473e-06,5.00679016113e-06,0.198725938797
0.000249862670898,0.197798967361,4.05311584473e-06,1.19209289551e-06,0.198082923889
3.69548797607e-05,0.197839021683,4.05311584473e-06,9.53674316406e-07,0.197906017303
6.89029693604e-05,0.208219051361,4.05311584473e-06,9.53674316406e-07,0.208325862885
2.69412994385e-05,0.199834108353,5.00679016113e-06,9.53674316406e-07,0.199908018112
0.000815868377686,0.198146820068,4.05311584473e-06,2.14576721191e-06,0.198997020721
0.000128030776978,0.198561906815,5.00679016113e-06,2.14576721191e-06,0.198734998703
2.8133392334e-05,0.198272943497,4.05311584473e-06,1.19209289551e-06,0.198343038559
0.000137090682983,0.199131965637,7.15255737305e-06,1.90734863281e-06,0.19931101799
0.000108003616333,0.198580026627,4.05311584473e-06,9.53674316406e-07,0.198724985123
6.19888305664e-05,0.207957029343,4.05311584473e-06,4.05311584473e-06,0.208056926727
